ID,Age,Experience_Years,Gender,Salary,Position,Job_Role,Location
1001,27,6.15,Male,1775000,Lead,Frontend Engineer,Kolkata
1002,24,3.12,Male,1017000,Senior,Backend Engineer,Kolkata
1003,30,9.27,Male,2555000,Lead,Backend Engineer,Pune
1004,30,3.62,Male,1319000,Senior,Frontend Engineer,Gurgaon
1005,37,11.83,Female,3725000,Manager,Frontend Engineer,Gurgaon
1006,28,2.07,Male,493000,Junior,Data Scientist,Hyderabad
1007,21,1.22,Male,508000,Junior,Frontend Engineer,Gurgaon
1008,30,8.19,Male,2555000,Lead,DevOps Engineer,Hyderabad
1009,23,2.32,Male,672000,Junior,Data Scientist,Delhi NCR
1010,27,7.37,Male,2254000,Lead,DevOps Engineer,Hyderabad
1011,45,23.39,Female,9514000,Director,ML Engineer,Noida
1012,26,2.36,Female,458000,Junior,ML Engineer,Bengal
1013,26,2.99,Male,584000,Junior,Backend Engineer,Hyderabad
1014,26,2.2,Male,456000,Junior,SRE,Kolkata
1015,31,6.77,Male,1549000,Senior,DevOps Engineer,Delhi NCR
1016,31,4.81,Female,1332000,Senior,DevOps Engineer,Kolkata
1017,27,3.43,Female,1229000,Senior,Data Scientist,Pune
1018,29,2.88,Female,554000,Junior,QA Engineer,Noida
1019,40,14.03,Male,5287000,Manager,Backend Engineer,Mumbai
1020,36,13.11,Male,8753000,Director,Full Stack Engineer,Pune
1021,37,14.15,Female,8235000,Director,Data Scientist,Kolkata
1022,32,10.28,Female,2886000,Lead,QA Engineer,Noida
1023,24,3.99,Male,1024000,Senior,Data Scientist,Bengal
1024,21,0.63,Female,63000,Intern,QA Engineer,Hyderabad
1025,25,1.71,Female,699000,Junior,SRE,Mumbai
1026,27,7.14,Male,2630000,Lead,ML Engineer,Gurgaon
1027,37,10.04,Male,2949000,Lead,ML Engineer,Delhi NCR
1028,24,0.98,Male,425000,Junior,Full Stack Engineer,Chennai
1029,33,7.6,Female,4068000,Manager,Frontend Engineer,Bengaluru
1030,23,3.06,Female,1211000,Senior,Data Scientist,Pune
1031,33,6.46,Male,1661000,Senior,Backend Engineer,Gurgaon
1032,31,8.73,Female,2227000,Lead,SRE,Pune
1033,26,0.65,Male,437000,Junior,QA Engineer,Bengaluru
1034,30,6.68,Male,1377000,Senior,Frontend Engineer,Pune
1035,23,0.86,Female,60000,Intern,Data Scientist,Bengal
1036,28,4.68,Male,1823000,Senior,DevOps Engineer,Mumbai
1037,21,1.16,Female,590000,Junior,SRE,Delhi NCR
1038,36,12.12,Male,8670000,Director,Frontend Engineer,Hyderabad
1039,25,3.53,Male,1330000,Senior,Data Scientist,Delhi NCR
1040,27,5.17,Other,1201000,Senior,Backend Engineer,Kolkata
1041,32,11.63,Male,2159000,Lead,Frontend Engineer,Kolkata
1042,23,1.03,Female,408000,Junior,DevOps Engineer,Kolkata
1043,34,13.77,Male,4031000,Manager,DevOps Engineer,Bengaluru
1044,31,9.82,Female,1970000,Lead,ML Engineer,Kolkata
1045,27,0.88,Male,60000,Intern,QA Engineer,Bengal
1046,25,3.17,Female,1266000,Senior,Backend Engineer,Delhi NCR
1047,26,0.76,Female,401000,Junior,ML Engineer,Bengal
1048,29,8.89,Female,3343000,Manager,Full Stack Engineer,Gurgaon
1049,34,7.99,Female,2043000,Lead,Data Scientist,Chennai
1050,28,8.3,Male,2407000,Lead,Data Scientist,Noida
1051,35,13.97,Female,3991000,Manager,ML Engineer,Delhi NCR
1052,23,0.77,Male,65000,Intern,QA Engineer,Bengaluru
1053,41,14.32,Male,7005000,Director,Frontend Engineer,Bengal
1054,32,7.88,Male,1824000,Lead,ML Engineer,Bengal
1055,24,0.44,Female,54000,Intern,Data Scientist,Delhi NCR
1056,48,23.97,Female,9640000,Director,Frontend Engineer,Chennai
1057,33,7.96,Male,2828000,Lead,Data Scientist,Gurgaon
1058,26,5.99,Male,1442000,Senior,ML Engineer,Kolkata
1059,26,1.03,Female,473000,Junior,QA Engineer,Noida
1060,34,9.07,Female,2426000,Lead,Full Stack Engineer,Hyderabad
1061,29,9.72,Female,2195000,Lead,Data Scientist,Chennai
1062,22,0.56,Male,431000,Junior,Frontend Engineer,Noida
1063,28,3.78,Male,1365000,Senior,Data Scientist,Pune
1064,26,0.75,Male,69000,Intern,ML Engineer,Mumbai
1065,38,18.73,Male,8646000,Director,Frontend Engineer,Noida
1066,29,5.12,Male,1292000,Senior,SRE,Bengal
1067,37,10.41,Male,3616000,Manager,Full Stack Engineer,Noida
1068,32,11.04,Female,3081000,Lead,SRE,Mumbai
1069,21,0.29,Male,35000,Intern,Frontend Engineer,Pune
1070,24,3.61,Male,1144000,Senior,QA Engineer,Kolkata
1071,23,0.83,Female,54000,Intern,Backend Engineer,Bengal
1072,25,0.35,Female,48000,Intern,ML Engineer,Kolkata
1073,26,5.41,Male,1325000,Senior,ML Engineer,Noida
1074,28,5.72,Male,1646000,Senior,SRE,Pune
1075,30,6.63,Female,1620000,Senior,Frontend Engineer,Gurgaon
1076,25,3.2,Male,1500000,Senior,QA Engineer,Delhi NCR
1077,32,6.01,Male,1373000,Senior,Frontend Engineer,Noida
1078,29,7.0,Female,2070000,Senior,Backend Engineer,Bengaluru
1079,21,0.55,Male,413000,Junior,Frontend Engineer,Bengal
1080,26,4.02,Female,1501000,Senior,Frontend Engineer,Pune
1081,22,0.56,Female,567000,Junior,ML Engineer,Gurgaon
1082,28,1.98,Male,486000,Junior,DevOps Engineer,Bengal
1083,29,9.4,Male,2584000,Lead,QA Engineer,Hyderabad
1084,32,6.4,Male,1681000,Senior,QA Engineer,Noida
1085,33,5.94,Male,1533000,Senior,SRE,Noida
1086,33,7.61,Female,2407000,Lead,Frontend Engineer,Chennai
1087,26,1.66,Male,589000,Junior,Backend Engineer,Noida
1088,26,1.03,Male,343000,Junior,DevOps Engineer,Kolkata
1089,38,13.11,Male,9173000,Director,Data Scientist,Noida
1090,26,6.17,Male,1480000,Senior,Data Scientist,Chennai
1091,27,5.21,Other,1657000,Senior,QA Engineer,Delhi NCR
1092,21,1.13,Male,478000,Junior,Frontend Engineer,Kolkata
1093,32,7.15,Male,2611000,Lead,DevOps Engineer,Hyderabad
1094,23,1.4,Female,395000,Junior,Full Stack Engineer,Chennai
1095,27,0.29,Female,58000,Intern,SRE,Hyderabad
1096,27,4.88,Male,1480000,Senior,Backend Engineer,Chennai
1097,28,6.29,Male,1376000,Senior,Backend Engineer,Pune
1098,31,4.22,Male,1160000,Senior,ML Engineer,Bengal
1099,28,6.1,Female,1415000,Senior,DevOps Engineer,Bengal
1100,26,2.05,Female,632000,Junior,Data Scientist,Mumbai
